file_name,label,length,width,L_bot,W_bot,L_top,W_top,num_bot,num_top,fold
15714,alder,97.0472,6.3622,500,1000,500,1000,97,97,0
15756,alder,97.0866,6.77165,500,1000,500,1000,97,97,0
15763,alder,97.0079,6.322830000000001,500,1000,500,1000,97,97,0
15753,alder,97.0866,6.77165,500,1000,500,1000,97,97,0
15784,alder,97.1654,7.0984300000000005,500,1000,500,1000,97,97,0
15786,alder,97.126,6.5748,500,1000,500,1000,97,97,0
15773,alder,96.8898,4.74803,500,1000,500,1000,97,97,0
15720,alder,97.0079,6.23228,500,1000,500,1000,97,97,0
15736,alder,97.0866,6.77165,500,1000,500,1000,97,97,0
15742,alder,97.0866,6.77165,500,1000,500,1000,97,97,0
15750,alder,97.0866,6.77165,500,1000,500,1000,97,97,0
15737,alder,97.0866,6.77165,500,1000,500,1000,97,97,0
15728,alder,97.0866,6.77165,500,1000,500,1000,97,97,0
15790,alder,97.126,6.791339999999999,500,1000,500,1000,97,97,0
15769,alder,96.8898,4.74803,500,1000,500,1000,97,97,0
15758,alder,97.0866,6.77165,500,1000,500,1000,97,97,0
15721,alder,97.0866,6.85433,500,1000,500,1000,97,97,1
15772,alder,97.0472,5.75591,500,1000,500,1000,97,97,1
15764,alder,97.0472,6.75984,500,1000,500,1000,97,97,1
15739,alder,97.0866,6.77165,500,1000,500,1000,97,97,1
15757,alder,97.0866,6.77165,500,1000,500,1000,97,97,1
15755,alder,97.0866,6.77165,500,1000,500,1000,97,97,1
15767,alder,97.0079,6.23228,500,1000,500,1000,97,97,1
15795,alder,97.126,6.791339999999999,500,1000,500,1000,97,97,1
15768,alder,97.0079,6.23228,500,1000,500,1000,97,97,1
15730,alder,97.0866,6.77165,500,1000,500,1000,97,97,1
15729,alder,97.0866,6.77165,500,1000,500,1000,97,97,1
15746,alder,97.0866,6.77165,500,1000,500,1000,97,97,1
15715,alder,97.126,5.8070900000000005,500,1000,500,1000,97,97,1
15718,alder,97.0472,6.75984,500,1000,500,1000,97,97,1
15766,alder,97.0079,6.23228,500,1000,500,1000,97,97,1
15762,alder,97.0079,6.322830000000001,500,1000,500,1000,97,97,1
15774,alder,97.126,6.791339999999999,500,1000,500,1000,97,97,2
15717,alder,97.0079,6.322830000000001,500,1000,500,1000,97,97,2
15725,alder,97.126,6.5748,500,1000,500,1000,97,97,2
15775,alder,97.0472,6.3622,500,1000,500,1000,97,97,2
15787,alder,97.0866,6.77165,500,1000,500,1000,97,97,2
15796,alder,97.126,6.791339999999999,500,1000,500,1000,97,97,2
15716,alder,97.0472,5.75591,500,1000,500,1000,97,97,2
15760,alder,97.126,6.79,500,1000,500,1000,97,97,2
15765,alder,97.0472,6.75984,500,1000,500,1000,97,97,2
